gene,log2FC,p_adj,category
GINS2,3.3044553986641105,4.713411173097516e-21,Upregulated
CD52,-3.697840214403305,4.787423845101439e-21,Downregulated
AOC3,-3.902938980545608,4.9083082895321204e-21,Downregulated
ANGPTL1,-3.834620131989548,4.9083082895321204e-21,Downregulated
HSD17B11,-1.986472059546028,4.9297993437397444e-21,Downregulated
RASGRP2,-2.6599959898880483,4.947455007251121e-21,Downregulated
PPP1R14B,1.744314078945365,4.973295722593085e-21,Upregulated
FEN1,2.118629528859537,4.9870983407508005e-21,Upregulated
DBF4,1.6892206966133363,5.038326134647542e-21,Upregulated
ERG,-2.712939983247508,5.211213989186786e-21,Downregulated
RTKN2,-4.132913358416016,5.330039858845072e-21,Downregulated
GRIA1,-4.680934742951942,5.466181122619857e-21,Downregulated
ANKRD1,-6.238185098771174,5.65486340408325e-21,Downregulated
CFL2,-1.7994104272564029,5.68498109412913e-21,Downregulated
GPR17,-3.18993415501095,5.778557399560253e-21,Downregulated
PRAM1,-3.380206964572687,5.824014836203928e-21,Downregulated
MAP1LC3C,-4.308645187756886,5.840654179709436e-21,Downregulated
LTA4H,-1.7403923590880606,5.865301324258558e-21,Downregulated
FBP1,-3.893922001707925,5.904340021548658e-21,Downregulated
GLDN,-3.158017243680568,5.997712152234901e-21,Downregulated
PKMYT1,3.221786596664429,6.0749989934163934e-21,Upregulated
CDKN3,3.3672555848348704,6.1405678392015614e-21,Upregulated
TCTA,-1.2584278797299415,6.169631497764265e-21,Downregulated
